,index,Ano,Produto,Quantidade produzida (Toneladas),Quantidade produzida (mil frutos),Rendimento médio da produção (Quilogramas por Hectare),Rendimento médio da produção (mil frutos por Hectare),Valor da produção (Mil Reais),Área colhida (Hectares),Área plantada ou destinada à colheita (Hectares)
170,170,2006.0,Milho,1153158.0,,183051.7966783914,,431464.0,551540.0,556640.0
171,171,2006.0,Sorgo,72.0,,7200.0,,22.0,20.0,20.0
172,172,2006.0,Tangerina,2694.0,,112678.9473684211,,226.0,190.0,190.0
173,173,2006.0,Tomate,28930.0,,592978.7234042553,,30698.0,1034.0,1054.0
174,174,2006.0,Uva,0.0,,0.0,,0.0,0.0,0.0
175,175,2007.0,Abacate,1482.0,,119794.1176470588,,474.0,68.0,68.0
176,176,2007.0,Abacaxi,779942.0,,1477016.2521019273,,251204.0,30924.0,30924.0
177,177,2007.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
178,178,2007.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
179,179,2007.0,Arroz,736820.0,,160236.4807818363,,336320.0,387498.0,388712.0
180,180,2007.0,Banana,1141902.0,,1547676.3842700664,,356544.0,89104.0,89144.0
181,181,2007.0,Borracha,2106.0,,14486.273657289003,,3488.0,3128.0,3128.0
182,182,2007.0,Cacau,86414.0,,37749.667081208805,,289154.0,128656.0,130496.0
183,183,2007.0,Café,31958.0,,53886.974094633886,,72848.0,30264.0,33154.0
184,184,2007.0,Castanha de caju,3264.0,,15194.304239401496,,2456.0,4812.0,4814.0
185,185,2007.0,Coco,,513244.0,,1170599.9621356996,130582.0,52292.0,52700.0
186,186,2007.0,Dendê,1739542.0,,300988.0813102591,,294248.0,98118.0,98368.0
187,187,2007.0,Feijão,118666.0,,97116.82371713406,,156588.0,141636.0,142138.0
188,188,2007.0,Goiaba,10184.0,,101842.5531914894,,4848.0,752.0,752.0
189,189,2007.0,Laranja,420720.0,,1186655.7703221762,,67000.0,25514.0,25514.0
190,190,2007.0,Limão,17248.0,,273746.4788732394,,3600.0,1420.0,1420.0
191,191,2007.0,Mamão,32080.0,,534497.8178137653,,14082.0,1976.0,2046.0
192,192,2007.0,Mandioca,10433910.0,,2129540.5118046156,,1324228.0,648814.0,648844.0
193,193,2007.0,Maracujá,82614.0,,674732.6099426387,,40094.0,8368.0,8370.0
194,194,2007.0,Melancia,166542.0,,1418952.6148325359,,63440.0,6688.0,6690.0
195,195,2007.0,Milho,1124064.0,,182702.8465123442,,463202.0,545438.0,547322.0
196,196,2007.0,Sorgo,142.0,,4056.5714285714303,,38.0,70.0,70.0
197,197,2007.0,Tangerina,2694.0,,112678.9473684211,,356.0,190.0,190.0
198,198,2007.0,Tomate,33514.0,,570067.6949152543,,34744.0,1180.0,1196.0
199,199,2007.0,Uva,0.0,,0.0,,0.0,0.0,0.0
200,200,2008.0,Abacate,1650.0,,119642.8571428571,,528.0,84.0,84.0
201,201,2008.0,Abacaxi,522694.0,,1520130.415331145,,224544.0,20716.0,20716.0
202,202,2008.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
203,203,2008.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
204,204,2008.0,Arroz,584710.0,,154796.2666902177,,377976.0,317042.0,317502.0
205,205,2008.0,Banana,1111628.0,,1508334.1942471017,,349060.0,86426.0,86426.0
206,206,2008.0,Borracha,4432.0,,14180.273422562139,,7774.0,4184.0,4184.0
207,207,2008.0,Cacau,94216.0,,37240.55018516621,,408078.0,136634.0,136652.0
208,208,2008.0,Café,27836.0,,52194.16252227128,,66006.0,25818.0,30548.0
209,209,2008.0,Castanha de caju,4162.0,,17033.8231292517,,3346.0,5880.0,5926.0
210,210,2008.0,Coco,,507194.0,,1158061.7711217091,126338.0,51582.0,51582.0
211,211,2008.0,Dendê,1792590.0,,296329.8889068303,,287132.0,99088.0,99088.0
212,212,2008.0,Feijão,99816.0,,90110.37097593644,,219376.0,129906.0,129926.0
213,213,2008.0,Goiaba,37344.0,,98983.8479809976,,20086.0,2526.0,2526.0
214,214,2008.0,Laranja,408794.0,,1136656.7741304878,,60532.0,24554.0,24554.0
215,215,2008.0,Limão,17574.0,,275103.305785124,,3848.0,1452.0,1452.0
216,216,2008.0,Mamão,32104.0,,526644.3009027081,,14076.0,1994.0,1994.0
217,217,2008.0,Mandioca,9598198.0,,2039480.770100766,,1281394.0,609728.0,616008.0
218,218,2008.0,Maracujá,66282.0,,651054.0928013877,,32540.0,6918.0,6918.0
219,219,2008.0,Melancia,173702.0,,1556747.7199032062,,66886.0,6612.0,6620.0
220,220,2008.0,Milho,1244828.0,,199018.90550085375,,518530.0,531772.0,532820.0
221,221,2008.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
222,222,2008.0,Tangerina,2694.0,,112678.9473684211,,352.0,190.0,190.0
223,223,2008.0,Tomate,32106.0,,519629.9483648881,,31848.0,1162.0,1162.0
224,224,2008.0,Uva,0.0,,0.0,,0.0,0.0,0.0
225,225,2009.0,Abacate,1450.0,,112656.25,,464.0,64.0,64.0
226,226,2009.0,Abacaxi,482196.0,,1479061.9585087192,,284430.0,19956.0,19972.0
227,227,2009.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
228,228,2009.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
229,229,2009.0,Arroz,605978.0,,156361.92653520693,,371762.0,312694.0,314042.0
230,230,2009.0,Banana,1002688.0,,1498383.743095697,,373286.0,77850.0,78760.0
231,231,2009.0,Borracha,4504.0,,15077.2851782364,,8118.0,4264.0,4264.0
232,232,2009.0,Cacau,108432.0,,40886.43954808691,,581262.0,140558.0,140558.0
233,233,2009.0,Café,25462.0,,50267.1905760852,,61198.0,24788.0,24788.0
234,234,2009.0,Castanha de caju,3734.0,,16270.874233128834,,2934.0,5216.0,5216.0
235,235,2009.0,Coco,,496376.0,,1170410.933107086,132960.0,48914.0,49326.0
236,236,2009.0,Dendê,1833326.0,,303164.5014505425,,294738.0,100652.0,100652.0
237,237,2009.0,Feijão,70472.0,,80525.48985124935,,108262.0,109176.0,121436.0
238,238,2009.0,Goiaba,27688.0,,64865.2542372881,,14530.0,1888.0,1888.0
239,239,2009.0,Laranja,406376.0,,1113402.6596738508,,109500.0,24406.0,24416.0
240,240,2009.0,Limão,20348.0,,293184.4311377246,,9402.0,1670.0,1670.0
241,241,2009.0,Mamão,28240.0,,520375.9327731092,,20798.0,1904.0,1904.0
242,242,2009.0,Mandioca,9097496.0,,1996488.4197530863,,1408698.0,579960.0,596192.0
243,243,2009.0,Maracujá,53526.0,,665437.0706319703,,41310.0,5380.0,5392.0
244,244,2009.0,Melancia,218954.0,,1628883.4630650496,,102720.0,9070.0,9120.0
245,245,2009.0,Milho,1104208.0,,201790.7298564398,,561490.0,480774.0,489128.0
246,246,2009.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
247,247,2009.0,Tangerina,2694.0,,112678.9473684211,,876.0,190.0,190.0
248,248,2009.0,Tomate,26062.0,,512009.9800399202,,36734.0,1002.0,1002.0
249,249,2009.0,Uva,0.0,,0.0,,0.0,0.0,0.0
250,250,2010.0,Abacate,1250.0,,108409.0909090909,,402.0,44.0,44.0
251,251,2010.0,Abacaxi,508694.0,,1501832.5579878902,,316612.0,17176.0,17184.0
252,252,2010.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
253,253,2010.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
254,254,2010.0,Arroz,527748.0,,160324.1231995966,,326424.0,253832.0,253870.0
255,255,2010.0,Banana,1079958.0,,1495709.7217520557,,454762.0,83422.0,83432.0
256,256,2010.0,Borracha,5280.0,,16604.109330819978,,8874.0,4244.0,4244.0
257,257,2010.0,Cacau,119074.0,,41292.15664595665,,600902.0,163528.0,163528.0
258,258,2010.0,Café,23902.0,,46156.95830729399,,74324.0,22402.0,22402.0
259,259,2010.0,Castanha de caju,4184.0,,16579.473791004395,,4100.0,5914.0,5914.0
260,260,2010.0,Coco,,464896.0,,1037938.5025041737,132934.0,47920.0,47920.0
261,261,2010.0,Dendê,2116762.0,,327317.4220197535,,386550.0,104488.0,104488.0
262,262,2010.0,Feijão,72996.0,,80321.48976632647,,148168.0,107586.0,107592.0
263,263,2010.0,Goiaba,40364.0,,92214.0477914555,,25088.0,2762.0,2762.0
264,264,2010.0,Laranja,401844.0,,1072408.3477044594,,112872.0,24308.0,24308.0
265,265,2010.0,Limão,36416.0,,334168.4985279686,,16996.0,2038.0,2040.0
266,266,2010.0,Mamão,30534.0,,598071.2836398839,,24220.0,2066.0,2086.0
267,267,2010.0,Mandioca,9192166.0,,1995417.0035452866,,2114136.0,593464.0,594964.0
268,268,2010.0,Maracujá,53308.0,,634503.9260838664,,46174.0,5628.0,5628.0
269,269,2010.0,Melancia,185750.0,,1556992.4811320754,,103478.0,8480.0,8482.0
270,270,2010.0,Milho,1038516.0,,222134.59092801492,,499624.0,403528.0,407338.0
271,271,2010.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
272,272,2010.0,Tangerina,2762.0,,120885.4166666667,,1326.0,192.0,192.0
273,273,2010.0,Tomate,21372.0,,388415.5172413793,,32426.0,870.0,870.0
274,274,2010.0,Uva,0.0,,0.0,,0.0,0.0,0.0
275,275,2011.0,Abacate,1250.0,,108409.0909090909,,858.0,44.0,44.0
276,276,2011.0,Abacaxi,541064.0,,1670084.3693131134,,387236.0,17936.0,17936.0
277,277,2011.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
278,278,2011.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
279,279,2011.0,Arroz,418982.0,,162076.9096666245,,225414.0,205594.0,205694.0
280,280,2011.0,Banana,1090986.0,,1510013.484156227,,542800.0,81420.0,81420.0
281,281,2011.0,Borracha,4668.0,,19018.932523616728,,10188.0,4446.0,4446.0
282,282,2011.0,Cacau,127598.0,,41112.21460236827,,613764.0,170082.0,170082.0
283,283,2011.0,Café,20502.0,,40742.21639656816,,80342.0,20980.0,20980.0
284,284,2011.0,Castanha de caju,5492.0,,16434.00128040973,,5430.0,6248.0,6248.0
285,285,2011.0,Coco,,458160.0,,1047038.7665469472,174302.0,46776.0,46776.0
286,286,2011.0,Dendê,2164696.0,,331671.3661428995,,524918.0,107936.0,107936.0
287,287,2011.0,Feijão,76026.0,,77691.48900682335,,130226.0,105520.0,105520.0
288,288,2011.0,Goiaba,11104.0,,86055.25250501,,8786.0,998.0,998.0
289,289,2011.0,Laranja,402916.0,,1091254.185799602,,129382.0,24112.0,24112.0
290,290,2011.0,Limão,40522.0,,384796.5457685665,,25840.0,2316.0,2316.0
291,291,2011.0,Mamão,35958.0,,610797.9067357513,,34290.0,2316.0,2316.0
292,292,2011.0,Mandioca,9295104.0,,2109460.365772371,,2042186.0,588098.0,588098.0
293,293,2011.0,Maracujá,53860.0,,692176.7410127561,,62130.0,5174.0,5174.0
294,294,2011.0,Melancia,241818.0,,1624628.5156130998,,136390.0,10504.0,10504.0
295,295,2011.0,Milho,1082256.0,,223437.28860220773,,588470.0,421064.0,421268.0
296,296,2011.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
297,297,2011.0,Tangerina,3040.0,,144257.2815533981,,1594.0,206.0,206.0
298,298,2011.0,Tomate,25242.0,,474141.935483871,,51306.0,930.0,930.0
299,299,2011.0,Uva,0.0,,0.0,,0.0,0.0,0.0
300,300,2012.0,Abacate,1250.0,,108409.0909090909,,444.0,44.0,44.0
301,301,2012.0,Abacaxi,634254.0,,1770960.5360678926,,483806.0,21210.0,21210.0
302,302,2012.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
303,303,2012.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
304,304,2012.0,Arroz,422670.0,,162730.1675250911,,217844.0,196484.0,196484.0
305,305,2012.0,Banana,1094196.0,,1438540.0367291707,,550822.0,82768.0,82768.0
306,306,2012.0,Borracha,5226.0,,17315.01714530647,,10308.0,4666.0,4666.0
307,307,2012.0,Cacau,134598.0,,41900.44802700896,,614500.0,176534.0,176534.0
308,308,2012.0,Café,20022.0,,38213.77822226559,,61998.0,20498.0,20498.0
309,309,2012.0,Castanha de caju,5780.0,,16889.756468797565,,5436.0,6570.0,6570.0
310,310,2012.0,Coco,,462800.0,,1059867.736770692,181112.0,47168.0,47168.0
311,311,2012.0,Dendê,2068722.0,,309026.6694446807,,545902.0,117590.0,117590.0
312,312,2012.0,Feijão,71024.0,,79581.81776743283,,133696.0,103110.0,103110.0
313,313,2012.0,Goiaba,12924.0,,103786.1095890411,,8778.0,730.0,730.0
314,314,2012.0,Laranja,395664.0,,1081705.682240643,,150342.0,23886.0,23886.0
